simu;treatment;ts;ta;lambda;S
a;control;0;0;0,950029;0
a;control;0,1;0;0,950029;0
a;control;0,2;0;0,950029;0
a;control;0,3;0;0,950029;0
a;control;0,4;0;0,950029;0
a;control;0,5;0;0,950029;0
a;control;0,6;0;0,950029;0
a;control;0,7;0;0,950029;0
a;control;0,8;0;0,950029;0
a;control;0,9;0;0,950029;0
a;control;1;0;0,950029;0
a;control;0;0,1;0,950029;0
a;control;0,1;0,1;1,130989;7,14
a;control;0,2;0,1;1,24751;7,91
a;control;0,3;0,1;1,33797;8,55
a;control;0,4;0,1;1,41349;9,14
a;control;0,5;0,1;1,47911;9,67
a;control;0,6;0,1;1,53756;10,16
a;control;0,7;0,1;1,59057;10,64
a;control;0,8;0,1;1,63924;11,09
a;control;0,9;0,1;1,68439;11,53
a;control;1;0,1;1,72659;11,93
a;control;0;0,2;0,950029;0
a;control;0,1;0,2;1,24751;14,03
a;control;0,2;0,2;1,41349;15,53
a;control;0,3;0,2;1,53756;16,73
a;control;0,4;0,2;1,63924;17,79
a;control;0,5;0,2;1,72659;18,73
a;control;0,6;0,2;1,80382;19,6
a;control;0,7;0,2;1,87345;19,5
a;control;0,8;0,2;1,93713;21,194
a;control;0,9;0,2;1,99599;21,94
a;control;1;0,2;2,05086;22,65
a;control;0;0,3;0,950029;0
a;control;0,1;0,3;1,33797;20,91
a;control;0,2;0,3;1,53756;23,11
a;control;0,3;0,3;1,68439;24,82
a;control;0,4;0,3;1,80382;26,3
a;control;0,5;0,3;1,90595;27,62
a;control;0,6;0,3;1,99599;28,83
a;control;0,7;0,3;2,07699;29,96
a;control;0,8;0,3;2,15094;31,01
a;control;0,9;0,3;2,21921;32,03
a;control;1;0,3;2,28279;33
a;control;0;0,4;0,950029;0
a;control;0,1;0,4;1,41349;27,75
a;control;0,2;0,4;1,63924;30,64
a;control;0,3;0,4;1,80382;32,84
a;control;0,4;0,4;1,93713;34,71
a;control;0,5;0,4;2,05086;36,37
a;control;0,6;0,4;2,15094;37,89
a;control;0,7;0,4;2,24089;39,3
a;control;0,8;0,4;2,32293;40,63
a;control;0,9;0,4;2,39861;41,88
a;control;1;0,4;2,46905;43,08
a;control;0;0,5;0,950029;0
a;control;0,1;0,5;1,47911;34,53
a;control;0,2;0,5;1,72659;38,08
